课程编号 课程名称 年级 学院 专业 开课学院 课程类别 课程性质 课程归属 上课星期 上课节次
1000 流体机械CAD 2022 机械工程学院 机械设计制造及其自动化 机械工程学院 通识教育必修 必修课 0 星期一 1和2
1001 机械工程导论 2022 机械工程学院 机械设计制造及其自动化 机械工程学院 通识教育必修 必修课 0 星期五 9和10和11
1002 电工电子学 2022 机械工程学院 光电信息科学与工程 机械工程学院 通识教育必修 必修课 0 星期二 3和4
1003 热传学基础 2021 机械工程学院 机械电子工程 机械工程学院 通识教育必修 必修课 0 星期一 3和4
1004 工程热力学 2021 机械工程学院 机械设计制造及自动化 机械工程学院 通识教育必修 必修课 0 星期三 7和8
1005 半导体物理与器件 2021 机械工程学院 机械设计制造及自动化 机械工程学院 通识教育必修 必修课 0 星期五 1和2
1006 电磁场与波 2021 机械工程学院 光电信息科学与工程 机械工程学院 通识教育必修 必修课 0 星期三 1和2
1007 光电信息处理 2021 机械工程学院 光电信息科学与工程 机械工程学院 通识教育必修 必修课 0 星期二 3和4
1008 互换性与测量技术 2021 机械工程学院 机械设计制造及自动化 机械工程学院 通识教育必修 必修课 0 星期三 7和8
1009 法语 2021 机械工程学院 机械设计制造及其自动化 机械工程学院 通识教育必修 必修课 0 星期五 7和8 
1010 光学仪器概论 2020 机械工程学院 测控技术与仪器 机械工程学院 通识教育必修 必修课 0 星期四 7和8
1011 微机接口课程设计 2021 计算机科学与通信工程学院 计算机科学与技术 计算机科学与通信工程学院 通识教育必修 必修课 0 星期五 5和6
1012 计算方法 2021 计算机科学与通信工程学院 软件工程 计算机科学与通信工程学院 通识教育必修 必修课 0 星期三 3和4
1013 操作系统 2021 计算机科学与通信工程学院 计算机科学与技术 计算机科学与通信工程学院 通识教育必修 必修课 0 星期四 5和6
1014 计算机理论基础 2021 计算机科学与通信工程学院 计算机科学与技术 计算机科学与通信工程学院 通识教育必修 必修课 0 星期三 7和8
1015 人工智能 2021 计算机科学与通信工程学院 物联网工程 计算机科学与通信工程学院 通识教育必修 必修课 0 星期一 3和4
1016 离散数学 2022 计算机科学与通信工程学院 通信工程 计算机科学与通信工程学院 通识教育必修 必修课 0 星期二 5和6
1017 随机过程 2022 计算机科学与通信工程学院 物联网工程 计算机科学与通信工程 通识教育必修 必修课 0 星期三 7和8
1018 计算机网络 2022 计算机科学与通信工程学院 计算机科学与技术 计算机科学与通信工程学院 通识教育必修 必修课 0 星期四 5和6
1019 数字逻辑 2022 计算机科学与通信工程学院 计算机科学与技术 计算机科学与通信工程学院 通识教育必修 必修课 0 星期二 3和4
1020 计算机图形学 2020 计算机科学与通信工程学院 计算机科学与技术 计算机科学与通信工程学院 通识教育必修 必修课 0 星期五 1和2
1021 数字设计入门 2022 电气信息工程学院 农业电气化 电气信息工程学院 通识教育必修 必修课 0 星期二 1和2
1022 实用工具软件应用 2022 电气信息工程学院 农业电气化 电气信息工程学院 通识教育必修 必修课 0 星期三 1和2
1023 程序设计 2022 电气信息工程学院 电气工程及其自动化 电气信息工程学院 通识教育必修 必修课 0 星期一 5和6
1024 电子实习 2022 电气信息工程学院 电气工程及其自动化 电气信息工程学院 通识教育必修 必修课 0 星期四 9和10和11
1025 电路原理 2022 电气信息工程学院 电子信息工程 电气信息工程学院 通识教育必 必修课 0 星期二 1和2
1026 电子学 2022 电气信息工程学院 农业电气化 电气信息工程学院 通识教育必修 必修课 0 星期三 3和4
1027 模拟电子学 2022 电气信息工程学院 电子信息工程 电气信息工程学院 通识教育必修 必修课 0 星期四 1和2
1028 信号与系统 2022 电气信息工程学院 电子信息工程 电气信息工程学院 通识教育必修 必修课 0 星期五 7和8
1029 数据库技术 2022 电气信息工程学院 电子信息工程 电气信息工程学院 通识教育必修 必修课 0 星期五 1和2
1030 电力市场概论 2022 电气信息工程学院 电气工程及其自动化 电气信息工程学院 通识教育必修 必修课 0 星期二 3和4
1031 工程测量与道路勘测 2022 汽车与交通工程学院 交通工程 汽车与交通工程学院 通识教育必修 必修课 0 星期一 5和6
1032 交通运输工程学 2022 汽车与交通工程学院 交通工程 汽车与交通工程学院 通识教育必修 必修课 0 星期三 1和2
1033 测量实习 2022 汽车与交通工程学院 交通工程 汽车与交通工程学院 通识教育必修 必修课 0 星期二 7和8
1034 马克思主义基本原理 2022 马克思主义学院 车辆工程 马克思主义学院 通识教育必修 必修课 0 星期三 3和4































